fips,Total Cases,Total Deaths,Count
26003.0,5,0,5
25019.0,861,0,86
24023.0,489,0,84
23029.0,121,0,73
23025.0,1248,0,78
26089.0,654,0,94
38093.0,1108,0,68
38097.0,405,0,39
38099.0,629,0,84
49033.0,3,0,3
49031.0,59,0,39
49029.0,682,0,81
49027.0,379,0,73
49025.0,219,0,74
49023.0,513,0,73
49021.0,3349,0,84
49019.0,350,0,73
49017.0,188,0,79
49015.0,363,0,73
49013.0,490,0,73
49007.0,513,0,73
48507.0,398,0,59
48505.0,517,0,70
48501.0,154,0,58
48495.0,189,0,66
48487.0,239,0,62
48483.0,661,0,54
48475.0,35,0,23
48473.0,2935,0,78
48465.0,1055,0,81
48463.0,662,0,80
48459.0,1266,0,87
49039.0,488,0,58
48457.0,613,0,72
49041.0,497,0,61
49045.0,6122,0,91
51125.0,769,0,82
51119.0,612,0,67
51115.0,312,0,82
51111.0,533,0,69
51105.0,616,0,85
51103.0,405,0,79
51091.0,123,0,54
51071.0,316,0,70
51057.0,1710,0,60
51053.0,2787,0,69
51049.0,1481,0,74
51045.0,259,0,69
51043.0,1158,0,76
51037.0,987,0,72
51027.0,1005,0,69
51011.0,1436,0,70
50019.0,731,0,83
50017.0,572,0,91
50013.0,319,0,69
50009.0,151,0,68
50005.0,959,0,83
49053.0,13836,0,101
49047.0,572,0,80
49043.0,28717,0,93
51135.0,1416,0,82
48455.0,768,0,72
48445.0,816,0,82
48333.0,27,0,27
48319.0,1411,0,72
48313.0,389,0,67
48307.0,198,0,67
48299.0,244,0,82
48297.0,439,0,75
48295.0,140,0,48
48289.0,528,0,77
48283.0,162,0,60
48281.0,422,0,73
48279.0,597,0,79
48275.0,69,0,69
48271.0,16,0,16
48267.0,38,0,38
48259.0,1537,0,82
48255.0,251,0,81
48253.0,13057,0,68
48249.0,474,0,74
48247.0,179,0,53
48237.0,251,0,67
48235.0,13,0,13
48233.0,1570,0,72
48229.0,97,0,20
48335.0,73,0,69
48447.0,1,0,1
48343.0,916,0,84
48351.0,245,0,75
48429.0,141,0,66
48427.0,1612,0,80
48425.0,10,0,6
48421.0,1199,0,60
48417.0,39,0,39
48415.0,535,0,67
48413.0,2,0,2
48411.0,29,0,27
48409.0,1506,0,82
48407.0,813,0,78
48399.0,101,0,48
48395.0,463,0,82
